first,second,hyphen,pos
air,choireigin,,Aq
air,choireiginach,,Aq
air,falbh,,Rs
a,bh\xe0n,-,Rs
a,bh\xf2n-d[\xe8xe9],-,Rt
a,bh\xf2n-raoir,-,Rt
a,bh\xf2n-uiridh,-,Rt
a,chaoidh,,Rt
a,deas,,Aq
a,tuath,,Aq
an,dr\xe0s[dt]a,-,Rt
an,ear,,Aq
an,iar,,Aq
an,raoir,-,Rt
an,sin,,Rs;Rt
a',shineach,,Rs
an,siudach,,Rs
an,toiseach,,Rt
an,uairsin,,Rt
ann,a',,Sp
ann,am,,Sp
ann,an,,Sp
gu,d[\xe8\xe9],,Uq
ma,tha,,Rg
mu,dheireadh,,Aq;Rt
mu,thr\xe0th,,Rt
sam,bith,,Aq

